index,x,y,z

0,[],[],[]
21,"[1.026123, 0.0480957, -0.2473145, 0.6435547, 1.337646, -0.2958984, -0.8613281, -0.2172852, -0.8071289, -0.2827148, -0.7922363, -0.3981934, 0.5107422, -0.7045898, 0.03271484, 0.2053223, 0.8405762, -0.793457, 0.7177734, 1.097412, 1.118652]","[-0.2102051, -0.7231445, -0.7763672, -1.136963, -1.453613, -0.720459, -0.6638184, -0.7294922, -1.967773, -0.6394043, -0.5703125, -0.7145996, -0.7382813, -0.5839844, -0.7648926, -1.136475, -0.9060059, -1.952881, -0.5019531, -0.184082, -0.02197266]","[-0.1506348, -0.4523926, -0.5117188, -0.09350586, 1.338867, -0.7084961, -0.8317871, -0.6132813, -1.167236, -0.9023438, -1.032471, -0.8662109, -0.3984375, -0.892334, -0.5917969, -0.9089355, -0.9765625, -0.9846191, -0.7416992, -0.1513672, -0.008789063]"

22,"[1.335693, -0.501709, -0.5227051, 0.1379395, 0.956543, 0.239502, -0.6057129, -0.4907227, 0.5085449, 1.155518, 1.14917]","[-0.1784668, -0.5944824, -0.7233887, -0.7492676, -1.090332, -1.001221, -0.5124512, -0.6240234, -0.4228516, -0.07202148, -0.07055664]","[-0.2421875, -0.6906738, -0.2854004, -0.5073242, -0.06079102, -0.901123, -1.088135, -0.8808594, -0.8300781, -0.2561035, 0.008300781]"

23,"[0.7775879, -0.2451172, -0.7902832, -0.1608887, 0.5141602, 0.1994629, 0.3620605, 0.7629395, 0.987793, -0.2705078, -0.4121094, 0.01513672, 0.6066895, -0.4978027, -0.503418, -0.1245117, 0.529541, 1.28833, 1.225098, 1.101807, 1.108398]","[-0.2717285, -0.6811523, -0.7094727, -0.8935547, -1.193359, -0.6867676, -0.7666016, -0.4504395, -0.8100586, -0.6660156, -0.8063965, -0.8671875, -0.7741699, -0.6047363, -0.6838379, -0.8054199, -1.090332, -0.2387695, -0.08740234, -0.03491211, -0.03955078]","[-0.6555176, -0.8256836, -0.6816406, -0.4494629, -0.4152832, -0.6638184, -0.449707, -0.4995117, 1.721436, -0.706543, -0.6779785, -0.5148926, -0.1972656, -0.7453613, -0.7790527, -0.5493164, -0.2177734, -0.2539063, -0.1674805, -0.0402832, -0.02001953]"

24,"[0.6000977, -0.3278809, 0.3435059, 0.1862793, -0.8022461, -0.7287598, -0.1535645, 1.091309, -0.7175293, 1.094727, -0.239502, -0.2719727, -0.5539551, 0.07348633, 0.7937012, 1.059814, 1.552979, 1.08374]","[-0.2480469, -0.7460938, -1.135498, -1.383789, -0.6125488, -0.640625, -0.7028809, -1.138428, -0.5334473, -0.614502, -0.6323242, -0.4677734, -0.4897461, -0.6188965, -0.4748535, -0.2004395, -0.06567383, -0.0637207]","[-0.2490234, -0.9755859, -0.359375, 0.0612793, -1.035645, -0.7211914, -0.6166992, -0.2404785, -0.8730469, -0.4121094, -0.659668, -0.8752441, -0.9294434, -0.6706543, -0.482666, -0.2070313, 0.2687988, -0.02099609]"

25,"[1.328125, 0.2036133, 1.999939, -0.3601074, 0.6254883, 0.704834, 0.06054688, -0.7243652, -0.6320801, 0.09619141, 1.061768, 0.02319336, -0.4775391, -0.5957031, 0.03100586, 1.105469]","[-0.08959961, -0.7260742, -1.984375, -0.7087402, -0.7192383, -0.2312012, -0.6108398, -0.4880371, -0.6203613, -0.7797852, -0.8535156, -1.291016, -0.4743652, -0.5703125, -0.6838379, -0.03955078]","[-0.6806641, 0.007324219, 1.999939, -0.5563965, -0.3444824, -0.4641113, -0.9382324, -1.115967, -0.8466797, -0.4951172, -0.2651367, -0.9082031, -0.9880371, -0.9755859, -0.3132324, -0.002685547]"

